frame, time,Joint1: GenForce (N.m),Joint2: GenForce (N.m),Joint3: GenForce (N.m),
91,0.9,-2.26002424245532,-1.6423963996656,-0.0326518185112864,
92,0.91,-2.29210709085178,-1.65901853718438,-0.0339340706166082,
93,0.92,-2.3227972065669,-1.67488449996693,-0.0351750299824285,
94,0.93,-2.35229080613605,-1.69005415394263,-0.0363736979001314,
95,0.94,-2.38078092639655,-1.70458114029862,-0.0375293261847896,
96,0.95,-2.40845646222679,-1.71851196772841,-0.0386413895159006,
97,0.96,-2.43550122230018,-1.73188510736975,-0.0397095597009761,
98,0.97,-2.46209299284441,-1.74473009036489,-0.0407336827704345,
99,0.98,-2.48840259789646,-1.75706660831761,-0.0417137598178438,
100,0.99,-2.51459294322259,-1.76890361750262,-0.0426499325072293,
101,1,-2.54081802996811,-1.78023844853402,-0.0435424741787545,
