frame, time,Joint2: JointValue (degree),Joint1: JointValue (degree),Joint1: JointVel (degree/s),Joint1: JointAccl (degree/s^2),Joint2: JointVel (degree/s),Joint2: JointAccl (degree/s^2),
78,0.77,82.479990978,164.959981956,169.367814,-1032.8472,84.683907,-516.423599999999,
79,0.78,83.3009598719999,166.601919744,159.011424000001,-1037.8368,79.5057120000003,-518.918400000001,
80,0.79,84.070052046,168.140104092,148.623174,-1039.1976,74.3115870000002,-519.598800000001,
81,0.8,84.7872000000001,169.5744,138.24,-1036.8,69.1200000000001,-518.4,
82,0.81,85.452524154,170.905048308,127.900134000001,-1030.5144,63.9500670000004,-515.257200000002,
83,0.82,86.0663393279999,172.132678656,117.643104000001,-1020.2112,58.8215520000006,-510.105600000001,
84,0.83,86.6291612220001,173.258322444,107.509734,-1005.7608,53.7548669999997,-502.880399999999,
85,0.84,87.141712896,174.283425792,97.5421440000001,-987.033600000001,48.771072,-493.516800000001,
86,0.85,87.6049312500001,175.2098625,87.78375,-963.899999999998,43.891875,-481.949999999999,
87,0.86,88.019973504,176.039947008,78.2792640000005,-936.230400000003,39.1396320000002,-468.115200000002,
88,0.87,88.388223678,176.776447356,69.0746940000001,-903.895199999998,34.5373470000001,-451.947599999999,
89,0.88,88.7112990719999,177.422598144,60.2173439999999,-866.7648,30.1086719999999,-433.3824,
90,0.89,88.9910567459999,177.982113492,51.7558140000004,-824.709599999999,25.8779070000002,-412.3548,
91,0.9,89.2296000000001,178.4592,43.7399999999985,-777.599999999999,21.8699999999992,-388.799999999999,
92,0.91,89.429284854,178.858569708,36.2210940000007,-725.306400000002,18.1105470000004,-362.653200000001,
93,0.92,89.5927265280001,179.185453056,29.2515839999996,-667.699199999998,14.6257919999998,-333.849599999999,
94,0.93,89.7228059220001,179.445611844,22.8852539999995,-604.648799999999,11.4426269999997,-302.3244,
95,0.94,89.8226760960001,179.645352192,17.1771840000007,-536.025600000002,8.58859200000037,-268.012800000001,
96,0.95,89.8957687500001,179.7915375,12.1837499999997,-461.699999999998,6.09187499999983,-230.849999999999,
97,0.96,89.945800704,179.891601408,7.96262400000067,-381.542400000006,3.98131200000034,-190.771200000003,
98,0.97,89.976780378,179.953560756,4.57277400000031,-295.423200000001,2.28638700000015,-147.7116,
99,0.98,89.9930142719999,179.986028544,2.07446399999938,-203.212799999999,1.03723199999969,-101.606399999999,
100,0.99,89.999113446,179.998226892,0.529253999999781,-104.781600000002,0.264626999999891,-52.3908000000009,
101,1,90,180,0,0,0,0,
