frame, time,Link1: EndX (m),Link1: EndY (m),Link2: EndX (m),Link2: EndY (m),Joint1: JointValue (degree),Joint2: JointValue (degree),
56,0.55,-0.261577781006684,0.302617026096714,-0.811800301778344,0.541897567795533,130.839661133051,25.6571003653109,
57,0.56,-0.273920403582896,0.291492045347696,-0.8445299871127,0.476977093758461,133.219959641025,28.7725245370945,
58,0.57,-0.285651774297051,0.280005471091096,-0.871253708026285,0.41065911708914,135.571898622896,31.8508306949717,
59,0.58,-0.296748379360644,0.268217075047118,-0.891987283610962,0.34365345133125,137.891036481221,34.8862055092314,
60,0.59,-0.307192990546705,0.256188341965384,-0.906844128589527,0.276645923541597,140.173061069605,37.8730050805623,
61,0.6,-0.316974659437516,0.243981690449244,-0.916027634945488,0.210284026805519,142.413806710775,40.805777213945,
62,0.61,-0.326088605826513,0.231659709811873,-0.919821370922381,0.145164602137423,144.609270636602,43.6792829359746,
63,0.62,-0.334536006638634,0.219284427769679,-0.918577609431219,0.0818238653982554,146.755628785203,46.488517170696,
64,0.63,-0.342323694021499,0.206916622124651,-0.91270473265542,0.0207299664081651,148.849250892762,49.2287284923515,
65,0.64,-0.349463773161234,0.194615187608557,-0.902654062591086,-0.0377218599764464,150.886714820524,51.8954378770875,
66,0.65,-0.355973171847102,0.182436566853011,-0.888906641175735,-0.0932116097586753,152.864820060414,54.484456379616,
67,0.66,-0.36187313482517,0.17043425210856,-0.871960433051254,-0.145494455337304,154.78060036598,56.991901665067,
68,0.67,-0.367188676541129,0.158658361960452,-0.852318354584811,-0.194398567558334,156.63133545881,59.4142133307914,
69,0.68,-0.371948005993194,0.147155294969929,-0.830477450854555,-0.23982112316835,158.414561764233,61.7481669576431,
70,0.69,-0.376181937131529,0.135967459989406,-0.806919454264166,-0.281722845541392,160.128082133919,63.9908868352887,
71,0.7,-0.379923297598053,0.125133080926753,-0.782102870208807,-0.320121443333957,161.769974517021,66.1398573113221,
72,0.71,-0.383206347656377,0.114686072022106,-0.756456651878232,-0.355084308481276,163.33859954563,68.192932719395,
73,0.72,-0.386066219978487,0.104655978288497,-0.730375451876463,-0.38672081484466,164.832607004615,70.1483458471827,
74,0.73,-0.388538389597171,0.0950679746772656,-0.704216375685598,-0.415174525609759,166.2509411603,72.0047149107626,
75,0.74,-0.390658181864258,0.0859429167675406,-0.678297112722287,-0.440615575192137,167.592844926967,73.7610490078847,
76,0.75,-0.392460324733617,0.077297435338983,-0.652895285335684,-0.46323344379393,168.857862854727,75.4167520286102,
77,0.76,-0.393978550167265,0.0691440670491707,-0.628248834135349,-0.483230293370928,170.045842926967,76.9716250078847,
78,0.77,-0.395245247987699,0.0614914135724842,-0.604557248338179,-0.500814985563503,171.1569371603,78.4258669107626,
79,0.78,-0.396291174105636,0.0543443219294959,-0.581983450691667,-0.516197857419496,172.191601004615,79.7800738471827,
80,0.79,-0.397145213766753,0.0477040793031402,-0.560656155975149,-0.529586291115527,173.15059154563,81.0352367193951,
81,0.8,-0.397834199301986,0.0415686163559457,-0.540672538003669,-0.541181080338049,174.034964517021,82.1927373113221,
82,0.81,-0.398382780843698,0.0359327138864019,-0.522101060415147,-0.551173568910743,174.846070133919,83.2543428352887,
83,0.82,-0.398813347588047,0.0307882085483315,-0.504984349434398,-0.559743516566367,175.585547764233,84.2221989576431,
84,0.83,-0.399145996439977,0.0261241942638963,-0.489342010648178,-0.567057632009426,176.25531945881,85.0988213307914,
85,0.84,-0.399398544265179,0.0219272168515632,-0.475173315253417,-0.573268703901998,176.85758236598,85.887085665067,
86,0.85,-0.399586579484101,0.0181814602327781,-0.462459703215871,-0.578515255287099,177.394800060414,86.590216379616,
87,0.86,-0.399723548366185,0.0148689233485767,-0.451167070546849,-0.582921645350569,177.869692820524,87.2117738770876,
88,0.87,-0.399820871107233,0.0119695875891178,-0.441247824981625,-0.586598543447516,178.285226892762,87.7556404923515,
89,0.88,-0.399888082588893,0.0094615751002955,-0.4326427084607,-0.589643703197266,178.644602785203,88.226005170696,
90,0.89,-0.399932992617852,0.00732129877338064,-0.425282395897797,-0.592142968513128,178.951242636602,88.6273469359746,
91,0.9,-0.399961860415879,0.00552360504281373,-0.419088887839094,-0.594171448148349,179.208776710775,88.964417213945,
92,0.91,-0.39997957817488,0.00404191081608735,-0.413976719964463,-0.595794800315969,179.421029069605,89.2422210805623,
93,0.92,-0.39998985859937,0.00284833594505467,-0.409854015226602,-0.597070573920298,179.592002481221,89.4659975092315,
94,0.93,-0.399995421529622,0.00191383263124071,-0.406623405101886,-0.598049557780013,179.725862622896,89.6411986949717,
95,0.94,-0.399998174970292,0.00120831305354885,-0.404182845312831,-0.598777093880757,179.826921641025,89.7734685370944,
96,0.95,-0.399999386140194,0.000700776332589234,-0.402426348875853,-0.599294315190566,179.899621133051,89.8686203653109,
97,0.96,-0.39999983850742,0.000359435721073888,-0.401244655839992,-0.599639272969044,179.948514618512,89.9326139971754,
98,0.97,-0.399999971178241,0.000151846654579316,-0.400525855020426,-0.599847922883863,179.978249568376,89.9715322174086,
99,0.98,-0.399999997464695,4.50360319075977E-05,-0.400155968788586,-0.599954943695547,179.993549063601,89.991556771925,
100,0.99,-0.399999999960339,5.63283872456348E-06,-0.400019507925047,-0.599994366844142,179.999193155286,89.9989439713059,
101,1,-0.4,4.89842541528951E-17,-0.4,-0.6,180,90,
