frame, time,Link1: EndX (m),Link1: EndY (m),Link2: EndX (m),Link2: EndY (m),Joint1: JointValue (degree),Joint2: JointValue (degree),
1,0,0.215801715453733,0.336793140677221,0.799999951175861,0.199999787844737,57.3501,-70.5288,
2,0.01,0.215796972678723,0.336796179584476,0.799999655691902,0.200021821021902,57.350906844714,-70.527743971306,
3,0.02,0.21576379451935,0.336817435674894,0.799997570236738,0.200175951084726,57.3565509363994,-70.520356771925,
4,0.03,0.215673847625027,0.336875038331154,0.799991754645052,0.200593772062684,57.3718504316238,-70.5003322174086,
5,0.04,0.215498989614364,0.336986921816246,0.799979772595878,0.201405896870583,57.4015853814882,-70.4614139971754,
6,0.05,0.215211342618822,0.337170695654596,0.799958119751447,0.202741507481013,57.4504788669489,-70.3974203653109,
7,0.06,0.214783351971814,0.337443494107905,0.799921437432979,0.204727930051378,57.523178358975,-70.3022685370944,
8,0.07,0.214187831092813,0.337821806595958,0.799861528211962,0.207490227526311,57.6242373771036,-70.1699986949717,
9,0.08,0.213397994103004,0.338321291249626,0.799766193732313,0.211150797567001,57.7580975187786,-69.9947975092315,
10,0.09,0.212387478196281,0.338956574070226,0.799617918729914,0.215828958521664,57.9290709303946,-69.7710210805624,
11,0.1,0.211130358258958,0.33974103641074,0.799392428686468,0.221640500864368,58.1413232892252,-69.493217213945,
12,0.11,0.209601156664386,0.340686593697127,0.799057151988058,0.228697176442732,58.3988573633978,-69.1561469359746,
13,0.12,0.207774851546013,0.341803468480108,0.798569621024393,0.237106093360251,58.7054972147966,-68.754805170696,
14,0.13,0.205626887155992,0.343099961058781,0.797875850538005,0.246968980761426,59.0648731072377,-68.2844404923515,
15,0.14,0.20313319012905,0.344582221056159,0.796908735872339,0.258381285578296,59.4804071794756,-67.7405738770876,
16,0.15,0.200270195577658,0.346254023461514,0.795586518688027,0.271431062825421,59.9552999395855,-67.119016379616,
17,0.16,0.197014886931002,0.348116552791683,0.793811373259058,0.286197622677482,60.4925176340202,-66.415885665067,
18,0.17,0.193344853286093,0.350168199166885,0.791468172564378,0.302749901690843,61.0947805411899,-65.6276213307914,
19,0.18,0.189238367756321,0.352404370246629,0.788423499866485,0.321144532465126,61.7645522357668,-64.7509989576431,
20,0.19,0.184674489876103,0.354817323124169,0.784524977977293,0.341423596056468,62.5040298660808,-63.7831428352888,
21,0.2,0.179633194548513,0.357396020425936,0.779600994448951,0.3636120547428,63.3151354829793,-62.7215373113221,
