frame, time,Joint1: GenForce (N.m),Joint2: GenForce (N.m),Joint3: GenForce (N.m),
72,0.71,-10.7200865691504,-5.40205463117132,0.0525501012958886,
73,0.72,-10.5999945185215,-5.47300049160755,0.0488575673643726,
74,0.73,-10.456157165255,-5.52597711312473,0.0457320441673589,
75,0.74,-10.2918118459232,-5.56184397092027,0.0431093732434384,
76,0.75,-10.1098580582773,-5.58147577366617,0.0409273498221258,
77,0.76,-9.91284874574156,-5.5857500378621,0.0391259597400141,
78,0.77,-9.70299001264801,-5.57553640121436,0.0376475047766464,
79,0.78,-9.48214820541832,-5.55168772367383,0.0364366453752921,
80,0.79,-9.25186330592651,-5.51503297534703,0.0354403902008593,
81,0.8,-9.01336763107492,-5.46637186763429,0.0346080609587765,
82,0.81,-8.76760890621101,-5.40647114786703,0.0338912586212675,
83,0.82,-8.51527686908226,-5.33606244830174,0.0332438539596491,
84,0.83,-8.25683265634325,-5.25584155722311,0.0326220213346419,
85,0.84,-7.99254031836307,-5.16646896258226,0.031984330302313,
86,0.85,-7.7224998939715,-5.06857150641535,0.0312919049739388,
87,0.86,-7.44668155021561,-4.9627449805836,0.0305086564153181,
88,0.87,-7.16496035018722,-4.84955749048604,0.0296015888455521,
89,0.88,-6.87715125309538,-4.72955341271025,0.028541176129976,
90,0.89,-6.58304397498862,-4.60325777456449,0.027301801165514,
91,0.9,-6.28243734713197,-4.47118088762707,0.0258622473181325,
92,0.91,-5.97517280432559,-4.33382307349601,0.0242062281627578,
93,0.92,-5.66116662057461,-4.19167932755487,0.0223229394524007,
94,0.93,-5.34044048824392,-4.04524377559605,0.0202076155460791,
95,0.94,-5.01315001327818,-3.89501378843473,0.0178620714790025,
96,0.95,-4.67961067745518,-3.74149363112425,0.015295211468907,
97,0.96,-4.34032080304092,-3.58519753599997,0.0125234849036486,
98,0.97,-3.99598104930617,-3.42665210249715,0.0095712717073239,
99,0.98,-3.64750997722129,-3.26639794147557,0.00647118037012967,
100,0.99,-3.29605524056077,-3.10499049758983,0.00326424376019849,
101,1,-2.943,-2.943,-3.58910051867325E-17,
