frame, time,Joint1: GenForce (N.m),Joint2: GenForce (N.m),Joint3: GenForce (N.m),
44,0.43,6.22034112108524,1.86041407649952,-0.0275193148919887,
45,0.44,5.74348009639678,1.68274976933265,-0.0247939788588769,
46,0.45,5.25856647222002,1.50002666501721,-0.0221315597601365,
47,0.46,4.76763854617378,1.31281743685416,-0.0195619599406191,
48,0.47,4.27279985930727,1.12173963165925,-0.0171150733581821,
49,0.48,3.77619739698108,0.927451137318237,-0.0148201606235071,
50,0.49,3.27999851972866,0.730644772006326,-0.0127052123790577,
51,0.5,2.78636707275811,0.532042089997498,-0.0107963216248039,
52,0.51,2.29743915333762,0.332386522568694,-0.00911708586002566,
53,0.52,1.81529903355355,0.132435992838171,-0.00768805919940821,
54,0.53,1.34195574077027,-0.0670448403459983,-0.00652627295730253,
55,0.54,0.879320788946847,-0.26529254278478,-0.00564484065439921,
56,0.55,0.429187530684056,-0.461552896494964,-0.00505266011757357,
57,0.56,-0.00678743705803719,-0.65508874839975,-0.00475422149246884,
58,0.57,-0.42710043021423,-0.84518754652212,-0.00474952577809964,
59,0.58,-0.83041407518349,-1.03116840371829,-0.00503411415008319,
60,0.59,-1.21556769388052,-1.21238854343663,-0.00559920409322967,
61,0.6,-1.58158450000016,-1.38824900060877,-0.00643192443171682,
62,0.61,-1.92767551086656,-1.55819947280257,-0.00751563791595368,
63,0.62,-2.25324016114255,-1.72174224130453,-0.00883033725190059,
64,0.63,-2.55786368500157,-1.87843510789754,-0.0103530984477432,
65,0.64,-2.841311409391,-2.02789331978234,-0.0120585741613817,
66,0.65,-3.10352017026167,-2.16979048140882,-0.0139195093669322,
67,0.66,-3.34458712397811,-2.30385847705553,-0.0159072620792451,
68,0.67,-3.56475627588733,-2.42988645104627,-0.0179923130016174,
69,0.68,-3.76440308605333,-2.54771891288088,-0.0201447496806829,
70,0.69,-3.9440175378608,-2.65725305179277,-0.0223347129292318,
71,0.7,-4.10418606851235,-2.75843535900155,-0.0245327957661983,
72,0.71,-4.24557276188742,-2.85125766604082,-0.0267103877758533,
73,0.72,-4.36890019477365,-2.93575271399576,-0.0288399604655255,
74,0.73,-4.47493030851486,-3.01198937140895,-0.0308952917785884,
75,0.74,-4.56444565134603,-3.08006761824685,-0.0328516302931821,
76,0.75,-4.63823130402298,-3.1401134099951,-0.0346858017276126,
77,0.76,-4.69705776482325,-3.19227353006404,-0.0363762621264062,
78,0.77,-4.74166503160967,-3.23671053066781,-0.0379031034872332,
79,0.78,-4.77274808032248,-3.27359785263352,-0.039248018601854,
80,0.79,-4.79094390271698,-3.30311520363338,-0.0403942325368517,
81,0.8,-4.79682023284342,-3.32544426251216,-0.041326408500766,
82,0.81,-4.79086606280677,-3.34076476506271,-0.0420305358732099,
83,0.82,-4.77348402451986,-3.34925101408607,-0.0424938079554735,
84,0.83,-4.74498469587974,-3.35106884410437,-0.0427044965910978,
85,0.84,-4.7055828770918,-3.34637305885845,-0.0426518302486831,
86,0.85,-4.65539587543524,-3.33530534784586,-0.0423258815048045,
87,0.86,-4.59444383400219,-3.31799267671351,-0.0417174691544996,
88,0.87,-4.52265214099798,-3.29454613534433,-0.0408180794467471,
89,0.88,-4.43985596003557,-3.26506021696305,-0.0396198102225938,
90,0.89,-4.34580692736106,-3.22961249149831,-0.0381153410478691,
91,0.9,-4.24018206796998,-3.18826362672278,-0.0362979317987605,
92,0.91,-4.12259498804306,-3.14105770127876,-0.0341614515900546,
93,0.92,-3.99260940513694,-3.08802274450356,-0.031700439441721,
94,0.93,-3.84975507944024,-3.02917142890492,-0.0289101976657076,
95,0.94,-3.69354620879202,-2.96450183210039,-0.0257869186248601,
96,0.95,-3.52350234706344,-2.8939981759089,-0.0223278452707584,
97,0.96,-3.3391719003242,-2.81763144093168,-0.0185314657054206,
98,0.97,-3.14015824874146,-2.73535974522273,-0.0143977419276467,
99,0.98,-2.926148535528,-2.64712836533637,-0.00992837290677654,
100,0.99,-2.69694515885754,-2.55286926693414,-0.0051270921540456,
101,1,-2.4525,-2.4525,1.08120494978978E-17,
