frame, time,Joint6: JointValue (degree),Joint6: JointVel (degree/s),Joint6: JointAccl (degree/s^2),Joint6: GenForce (N.m),Joint1: JointValue (degree),Joint1: JointVel (degree/s),Joint1: JointAccl (degree/s^2),Joint1: GenForce (N.m),Joint2: JointValue (degree),Joint2: JointVel (degree/s),Joint2: JointAccl (degree/s^2),Joint2: GenForce (N.m),Joint3: JointValue (degree),Joint3: JointVel (degree/s),Joint3: JointAccl (degree/s^2),Joint3: GenForce (N.m),Joint4: JointValue (degree),Joint4: JointVel (degree/s),Joint4: JointAccl (degree/s^2),Joint4: GenForce (N.m),Joint5: JointValue (degree),Joint5: JointVel (degree/s),Joint5: JointAccl (degree/s^2),Joint5: GenForce (N.m),
1,0,-1.17180699756807E-13,-4.15922763226459E-11,-2.27907931421793E-16,0,4.11458518420348E-06,0.000778445355888823,0.0867736012496479,0.00479109891999635,0.0185893508283878,3.71786995658606,371.935810653825,-0.00526026094091137,0.0184098446135042,3.68178973023892,368.362154697134,0.00526075213600896,-4.11458506704127E-06,-0.00077844531431047,-0.0867736012496932,2.14697734434309E-20,0.000186730103443008,0.0374855161734017,3.7221419064244,4.52249830527074E-05,
2,0.01,-1.07674186945713E-12,-1.07897659912813E-10,-1.0897185764216E-08,1.72753026384023E-14,1.37881843384192E-05,0.00102352067432483,0.0600977134846229,0.0215607522907917,0.0743425177764494,7.43573679790935,371.935685264516,-0.0238101668883637,0.0736139029436484,7.36142955232525,368.254667765996,0.0237970948886888,-1.37881832628582E-05,-0.00102352056675106,-0.0600977025936131,-1.16189955959626E-10,0.000755136598587613,0.076644223077157,3.80581704472688,0.000203483959011719,
3,0.02,1.16126173606346E-12,9.6097080076946E-10,1.45256656115253E-08,1.94750988974137E-14,2.10232020397872E-05,0.000202026316012284,-0.0199212345261876,0.0359337017659453,0.167259440459979,11.1535937634845,371.935126749893,-0.0395433926209776,0.165579921135845,11.0367656806846,367.932012792434,0.0396704641027196,-2.10232032105646E-05,-0.000202027278356885,0.019921219930067,6.621233430426E-11,0.00173031144746438,0.119149670126189,4.05686050958679,0.000339146728840344,
4,0.03,3.35602737012759E-11,6.83064543587802E-09,2.5737955969982E-07,-2.15593310181023E-13,1.2492355367057E-05,-0.00221920466957042,-0.153279606384024,0.0503070338648082,0.297339957499734,14.8714268011925,371.933588151208,-0.0550699744474272,0.294254075472998,14.7056354789859,367.393523196675,0.0555573137535774,-1.24923889463506E-05,0.00221919784034754,0.153279348909681,7.43524650529893E-10,0.00315408266008985,0.166676978187752,4.47539225548928,0.000474824013683418,
5,0.04,1.78763299991746E-10,2.52732252635962E-08,1.04248437463528E-06,-1.39103086058749E-12,-3.04611640362985E-05,-0.00677334933830193,-0.33997528600241,0.0646824637361796,0.464583715388612,18.5892109173347,371.930157597694,-0.0703074852959347,0.459560862310936,18.3658631628071,366.638096567307,0.0714619427091694,3.04609853920637E-05,0.0067733241024377,0.339974244573046,2.2384570810087E-09,0.0050850335033883,0.220903522680688,5.06160534951325,0.000610512134381647,
6,0.05,6.25880463127511E-10,7.02011683737965E-08,2.87375677047313E-06,-5.23248945447058E-12,-0.000131824290548245,-0.0139937085555124,-0.58001359047062,0.0790633039309694,0.668990040846196,22.3069065208025,371.923557816553,-0.0851722556375272,0.661402945775544,22.0152556542245,365.664207348322,0.0873875565701308,0.000131823665832851,0.0139936385667724,0.580010724412198,4.97682099404192E-09,0.00759852796013191,0.283509494313737,5.81575574932547,0.000746197885982971,
7,0.06,1.74448618463166E-09,1.64308265857083E-07,6.48581451574846E-06,-1.54727456083474E-11,-0.000320916274552723,-0.0244139151926929,-0.873415543424721,0.09345493112907,0.910557776591995,26.0244557593955,371.912145445948,-0.0995790296291368,0.899660964989693,25.651598638112,364.469924537595,0.103335959843558,0.000320914535836289,0.0244137517110658,0.87340908951198,9.52042181674112E-09,0.010786741014443,0.356178297499782,6.73814805362768,0.000881855809113332,
8,0.07,4.18889297283691E-09,3.4252411809774E-07,1.2914362542694E-05,-3.9533201506812E-11,-0.000632393524216081,-0.0385682603858088,-1.22022850655777,0.107865251584456,1.18928508044906,29.7417788463198,371.893910150897,-0.113440632420939,1.17419330309223,29.2726528692023,363.052934332589,0.119307254007197,0.000632389356802769,0.0385679204761458,1.22021569459128,1.66016187672409E-08,0.0147586919443801,0.44059674720608,7.82911728752239,0.00101744547771765,
9,0.08,9.04206387466148E-09,6.56538210528277E-07,2.35893801719989E-05,-9.12557301101139E-11,-0.00110625839710905,-0.0569921614447514,-1.6205391692372,0.122305164898206,1.50516918767008,33.4587703749246,371.866473543264,-0.126667651666967,1.48483582079696,32.8761507780046,361.410567638926,0.135299543108835,0.00110624942218413,0.0569915121104184,1.62051586076229,2.71603583473957E-08,0.0196402784143596,0.538455025930949,9.08900680524679,0.00115290881053883,
10,0.09,1.80114280468696E-08,1.18072263948659E-06,4.04571303071689E-05,-1.95159117203212E-10,-0.00178787347586654,-0.0802227950832159,-2.0744889007873,0.136789025681339,1.85820613635883,37.175295619787,371.827087909391,-0.139168136627873,1.83140155771482,36.4597934225136,359.539832336145,0.151308648734484,0.00178785565001315,0.0802216323061085,2.07444913413948,4.23847568852701E-08,0.0255743087828007,0.651446363651787,10.5181424142542,0.0012881674159287,
