frame, time,Joint1: JointValue (degree),Joint1: JointVel (degree/s),Joint1: JointAccl (degree/s^2),Joint1: GenForce (N.m),Joint2: JointValue (degree),Joint2: JointVel (degree/s),Joint2: JointAccl (degree/s^2),Joint2: GenForce (N.m),Joint3: JointValue (degree),Joint3: JointVel (degree/s),Joint3: JointAccl (degree/s^2),Joint3: GenForce (N.m),Joint4: JointValue (degree),Joint4: JointVel (degree/s),Joint4: JointAccl (degree/s^2),Joint4: GenForce (N.m),Joint5: JointValue (degree),Joint5: JointVel (degree/s),Joint5: JointAccl (degree/s^2),Joint5: GenForce (N.m),Joint6: JointValue (degree),Joint6: JointVel (degree/s),Joint6: JointAccl (degree/s^2),Joint6: GenForce (N.m),
1,0,3.23814367307547E-06,0.000620735122890772,0.0674792357953144,0.00479109891999635,0.0144559541773119,2.89119071242518,289.234789226093,17.2263069414191,0.014316516434858,2.86319492720022,286.455746182124,-0.087538247863991,-3.23814360042465E-06,-0.000620735096313243,-0.0674792357953497,2.14697734434309E-20,0.000145089517763488,0.0291022605856314,2.89451270605476,4.52249830527074E-05,-7.26602717830628E-14,-2.65843223253917E-11,-1.77231932552713E-16,0,
2,0.01,1.1337234315811E-05,0.000918921675529788,0.0513473747295688,0.0215607522907917,0.0578122438541286,5.78237966354745,289.234715442767,17.2078013527022,0.0572481135500025,5.72508987979473,286.39074758251,-0.0690606494342781,-1.13372335285327E-05,-0.000918921568420579,-0.0513473674995241,-1.16189957575817E-10,0.000585300866088164,0.059216330748608,2.9451135279953,0.000203502506541285,-7.87861059920976E-13,-1.0727336458299E-10,-7.2330204520654E-09,1.72753026384023E-14,
3,0.02,1.94608181685935E-05,0.000572111169335549,0.00295686652521595,0.0359337017659453,0.130068836190823,8.67356337792909,289.234408337809,17.1920862003115,0.128775290802038,8.58438313518218,286.195664307946,-0.0532639537817664,-1.94608172765511E-05,-0.000572111426360405,-0.00295686484300414,6.62123212889854E-11,0.00133580721815625,0.0913541299711566,3.09692147515392,0.000339182249416793,-8.97264337347483E-13,2.56166520998075E-10,-1.71933630908881E-09,1.94750988974137E-14,
4,0.03,1.9549345346944E-05,-0.000742125387832556,-0.0776903930906312,0.0503070338648082,0.231225647893497,11.5647349514345,289.233610708083,17.1765152706125,0.228865516490436,11.4397687996463,285.870182486371,-0.0374905151907808,-1.95493564262492E-05,0.000742122670388142,0.0776902923558548,7.43524624627344E-10,0.00242190033082701,0.126528323890072,3.34999328053628,0.000474871708594598,1.10619946340541E-11,2.71631958975124E-09,1.00638891672377E-07,-2.15593310181023E-13,
5,0.04,3.20323339437019E-07,-0.0033462093741411,-0.190592687315366,0.0646824637361796,0.361282502363317,14.4558823354514,289.231893787524,17.1611013499762,0.357473175831392,14.2899347697607,285.413782135463,-0.0217421071820533,-3.20395057200627E-07,0.00334619859817782,0.190592239108246,2.23845724674781E-09,0.00387899971184732,0.16575265978857,3.7044209879257,0.000610555619166695,7.17169454402861E-11,1.07836111992679E-08,4.4836569044126E-07,-1.39103086058749E-12,
6,0.05,-5.27317707627636E-05,-0.00756259237387671,-0.335750640998828,0.0790633039309694,0.520239069684771,17.3469866189625,289.228657068034,17.1458385802134,0.514539498916723,17.1335607494285,284.825741806892,-0.00602333479177647,5.27315054558297E-05,0.0075625617461113,0.33574937586207,4.97682261300333E-09,0.00575266492885867,0.210042257265938,4.16032820925717,0.000746205881372785,2.65572769357057E-10,3.06857131637976E-08,1.26721309593029E-06,-5.23248945447058E-12,
7,0.06,-0.000157336121725364,-0.0137138285632249,-0.513170247004502,0.09345493112907,0.708094789427766,20.2380203077456,289.223128048397,17.1307028133301,0.699992469205618,19.9693163408619,284.105145070299,0.00965805532353115,0.000157335365966122,0.013713756362065,0.513167377756362,9.52042985232388E-09,0.00809861053847333,0.260413839377393,4.7178649022957,0.000881778833187374,7.57343270770438E-10,7.24426995630874E-08,2.87863980268337E-06,-1.54727456083474E-11,
8,0.07,-0.000334447139944254,-0.0221226902820951,-0.722866755270838,0.107865251584456,0.924848776231255,23.1289455999843,289.214361911073,17.1156519618831,0.913746713378998,22.7958592275958,283.25088881888,0.0252908705591049,0.000334445309797669,0.0221225398355599,0.722861061426639,1.66016487734509E-08,0.0109827229676441,0.317885889739466,5.3772006861957,0.00101721254030436,1.83638684034759E-09,1.51226122743972E-07,5.72463429524683E-06,-3.9533201506812E-11,
9,0.08,-0.000608247432312724,-0.0331123354110607,-0.964869424039838,0.122305164898206,1.17049970812891,26.0197126575686,289.201241126982,17.1006263445078,1.15570337356587,25.611833467365,282.261693372901,0.0408601756893484,0.000608243475721295,0.0331120484809519,0.964859108582784,2.7160452460118E-08,0.0144810785358127,0.383478721355869,6.13851671802023,0.00115242411134069,3.97647647142705E-09,2.89082589016922E-07,1.03998999271676E-05,-9.12557301101139E-11,
10,0.09,-0.00100615274115953,-0.047006535183133,-1.23922713361922,0.136789025681339,1.44504569757025,28.9102578723802,289.182474988862,17.0855490263106,1.4257499631277,28.4158679123493,281.136114351606,0.0563470059584572,0.00100614488129945,0.0470060233908298,1.23920964637077,4.23850179713253E-08,0.018679961665477,0.458214443238852,7.00199615914429,0.0012873070483889,7.91502184806091E-09,5.17120241517668E-07,1.76928896083496E-05,-1.95159117203212E-10,
