frame, time,Link6: EndZ (m),Link6: EndY (m),Link6: EndX (m),
1,0,0.658378655032452,-0.0509645645333644,0.281143766983819,
2,0.01,0.658397237007492,-0.0509431446882098,0.281162719628217,
3,0.02,0.658525094342203,-0.0507957357174386,0.281293041910388,
4,0.03,0.658865576530291,-0.0504029751622586,0.281639360346554,
5,0.04,0.659516015712003,-0.0496518131610269,0.282298011521834,
6,0.05,0.660568367985856,-0.0484341618676853,0.283355507881662,
7,0.06,0.662109973124506,-0.0466453049217154,0.284886563265489,
8,0.07,0.664224385448451,-0.0441822251713375,0.286951779509914,
9,0.08,0.666992230374965,-0.04094202142911,0.289595073574754,
10,0.09,0.670492042925336,-0.0368205956206524,0.292840909408734,
11,0.1,0.674801046390091,-0.0317117984787325,0.296691392705855,
12,0.11,0.679995831499907,-0.0255072234429922,0.301123291712654,
13,0.12,0.686152898867437,-0.0180968331337356,0.306085064408306,
14,0.13,0.693349030170051,-0.00937058889167746,0.311494001753297,
15,0.14,0.701661456550584,0.000778770764136695,0.317233637140144,
16,0.15,0.711167796048186,0.0124516948511438,0.323151621147059,
17,0.16,0.721945735579154,0.0257364738363393,0.329058314117379,
18,0.17,0.734072437137224,0.0407026011259284,0.334726401252294,
19,0.18,0.747623652568708,0.0573929528513278,0.339891878476648,
20,0.19,0.762672536617679,0.0758150089694281,0.344256783550658,
21,0.2,0.779288154066579,0.0959314684880704,0.347494046003148,
22,0.21,0.797533683864329,0.117650753224432,0.349254791490256,
23,0.22,0.817464331282505,0.140818038362872,0.349178352098317,
24,0.23,0.83912496849835,0.165207580549704,0.346905097288044,
25,0.24,0.86254753466229,0.190517217890618,0.342092008167512,
26,0.25,0.887748238495373,0.216365970789505,0.334430674132386,
27,0.26,0.914724619714198,0.242295657021425,0.3236671067828,
28,0.27,0.943452539905487,0.267777329617028,0.309622461201758,
29,0.28,0.97388318851416,0.292223138263259,0.292213457566385,
30,0.29,1.00594020481474,0.315003899326853,0.271471042285711,
31,0.3,1.03951703132921,0.335472244206379,0.247555657211038,
32,0.31,1.07447462712287,0.352990723480109,0.220767437218701,
33,0.32,1.11063967951629,0.366963713876062,0.191549763384876,
34,0.33,1.14780345857828,0.376871458890268,0.160484880777052,
35,0.34,1.18572145878985,0.382304133455537,0.128280747250266,
36,0.35,1.22411396498863,0.382993521622935,0.0957488900257062,
37,0.36,1.26266766378684,0.378839789282681,0.0637737634615904,
38,0.37,1.301038396132,0.369930959457733,0.0332748562582346,
39,0.38,1.33885511113753,0.356553067419283,0.00516350736006963,
40,0.39,1.37572503608136,0.339189567097442,-0.0197030279994735,
41,0.4,1.41124002378201,0.318509327448437,-0.0405673423366279,
42,0.41,1.44498397861226,0.295343419582585,-0.0568144280618986,
43,0.42,1.47654119935354,0.270651758848657,-0.068008129415472,
44,0.43,1.50550541490599,0.245481435799704,-0.0739190181998341,
45,0.44,1.53148923209512,0.220919165378526,-0.0745418364995997,
46,0.45,1.55413366820576,0.198040651491297,-0.0701013983513127,
47,0.46,1.57311740893858,0.177859786276498,-0.0610466321341723,
48,0.47,1.58816541901489,0.161280497335145,-0.0480331926803042,
49,0.48,1.59905654026248,0.149053768038421,-0.031895712563467,
50,0.49,1.60562974175747,0.141741947512035,-0.0136112602427715,
51,0.5,1.60778873774119,0.139692,0.00574407620885248,
52,0.51,1.60550475900225,0.143018866341002,0.0250433374299318,
53,0.52,1.59881734794273,0.151599649140334,0.0431593019610714,
54,0.53,1.58783314101616,0.165078890082217,0.0590152198054778,
55,0.54,1.57272269817235,0.182884767508429,0.0716333145460897,
56,0.55,1.55371553067311,0.204255584164844,0.0801787280579731,
57,0.56,1.53109355985894,0.228275426340794,0.083996684166493,
58,0.57,1.50518330484488,0.253917363445781,0.0826408577455671,
59,0.58,1.4763471428588,0.280092053195566,0.0758912880457468,
60,0.59,1.44497400991707,0.305699176263522,0.063760688343068,
61,0.6,1.41146991152318,0.329678812359402,0.0464886702158885,
62,0.61,1.37624859458163,0.351059751982222,0.0245241797002861,
63,0.62,1.33972269571924,0.369001861399827,-0.00150273522634481,
64,0.63,1.30229563173643,0.382829998864853,-0.030817929415476,
65,0.64,1.26435443959888,0.392057596522459,-0.0625464016269476,
66,0.65,1.22626371096123,0.396398817641678,-0.0957588131339347,
67,0.66,1.18836070410554,0.395769087929103,-0.129518170903257,
68,0.67,1.15095165813783,0.390274684295483,-0.162923692759838,
69,0.68,1.11430928319749,0.38019284834022,-0.195149264663188,
70,0.69,1.07867135820138,0.365944495762439,-0.225474500121743,
71,0.7,1.04424033521006,0.348061965358846,-0.253307140982514,
72,0.71,1.01118382695072,0.327154373507497,-0.27819630997853,
73,0.72,0.979635840752336,0.30387302543279,-0.299836854879653,
74,0.73,0.949698617037007,0.278879022880665,-0.318065643049414,
75,0.74,0.921444932165749,0.252814756380228,-0.33285112684046,
76,0.75,0.894920732337655,0.22628044367036,-0.344277782561052,
77,0.76,0.870147975899905,0.199816336654927,-0.352527130261905,
78,0.77,0.847127574491078,0.173890720390203,-0.357856989050253,
79,0.78,0.82584233776369,0.148893407861579,-0.360580446760631,
80,0.79,0.806259841098448,0.125134116454895,-0.36104576367015,
81,0.8,0.788335150051889,0.102844903622497,-0.359618127913076,
82,0.81,0.772013348803999,0.0821857351606793,-0.356663871302563,
83,0.82,0.757231832310638,0.0632522455134689,-0.352537466964343,
84,0.83,0.743922333080175,0.0460848060523368,-0.347571384309835,
85,0.84,0.732012663458671,0.0306781229813854,-0.342068683479022,
86,0.85,0.721428163073876,0.0169907209575245,-0.336298093855524,
87,0.86,0.712092848755182,0.00495381411370887,-0.330491236969854,
88,0.87,0.703930270940275,-0.00552079077823935,-0.324841616272643,
89,0.88,0.696864086436046,-0.0145339833193096,-0.319504995697249,
90,0.89,0.690818362552742,-0.0221939418033298,-0.314600815565935,
91,0.9,0.685717632196759,-0.0286120469914609,-0.310214338395652,
92,0.91,0.681486723589404,-0.0339000626829698,-0.306399269709037,
93,0.92,0.678050391955456,-0.0381684741936334,-0.303180652688136,
94,0.93,0.675332783852326,-0.0415258377375489,-0.300557884696127,
95,0.94,0.673256767821636,-0.0440789689961202,-0.298507744256557,
96,0.95,0.671743167759368,-0.0459337852907153,-0.296987346490207,
97,0.96,0.670709937827401,-0.0471966105642678,-0.295936962125023,
98,0.97,0.670071319884503,-0.0479757540276209,-0.295282640084582,
99,0.98,0.669737026335219,-0.0483831803145559,-0.294938567413779,
100,0.99,0.669611493060811,-0.0485360998111399,-0.294809084831953,
101,1,0.669593248855081,-0.0485583206700578,-0.294790254059356,
