frame, time,Joint6: JointValue (degree),Joint6: JointVel (degree/s),Joint6: JointAccl (degree/s^2),Joint6: GenForce (N.m),Joint5: JointValue (degree),Joint5: JointVel (degree/s),Joint5: JointAccl (degree/s^2),Joint5: GenForce (N.m),Joint4: JointValue (degree),Joint4: JointVel (degree/s),Joint4: JointAccl (degree/s^2),Joint4: GenForce (N.m),Joint3: JointValue (degree),Joint3: JointVel (degree/s),Joint3: JointAccl (degree/s^2),Joint3: GenForce (N.m),Joint2: JointValue (degree),Joint2: JointVel (degree/s),Joint2: JointAccl (degree/s^2),Joint2: GenForce (N.m),Joint1: JointValue (degree),Joint1: JointVel (degree/s),Joint1: JointAccl (degree/s^2),Joint1: GenForce (N.m),
14,0.13,2.74870009875513E-07,1.34891285282318E-05,0.00039529732048818,-5.20850504907337E-09,0.077821659321416,1.62422058627956,23.2303183762847,0.00242679679156407,0.0103944853229845,0.311447020999662,5.92520280679053,3.13375976611618E-07,4.11661831338401,58.1572503811298,400.186831779541,0.286801535883852,4.20284684810433,60.0455158357922,428.56370272748,-0.232262323875254,-0.0103947498341295,-0.311459760763433,-5.92557144149622,0.26125351817324,
15,0.14,4.42926447149444E-07,2.05746553562585E-05,0.000583779845164406,-9.00677617803771E-09,0.0954234097881343,1.90285853727383,26.2640666077449,0.00260111566741816,0.0138696302387584,0.385580739826843,6.89775764550918,4.32529401327303E-07,4.71768116251189,62.0944237917485,396.073612438184,0.307925007055808,4.82446507200493,64.3256800849658,428.328350295814,-0.240221060491805,-0.0138700522590235,-0.385599887520942,-6.89829175564916,0.281644699493109,
16,0.15,6.96641273935406E-07,3.07998379672447E-05,0.000848537398554346,-1.51291618591024E-08,0.115976954396217,2.21517270644261,29.5217167347688,0.00277320958297096,0.0181395948145878,0.470602372203205,7.94752482272379,5.87868159972452E-07,5.35787172232464,65.9853671493634,391.620899327685,0.328906118158225,5.48885223332358,68.6026206231982,428.037195079664,-0.24607600556115,-0.0181402508480405,-0.470630546420327,-7.94828397809956,0.302441129046841,
17,0.16,1.07316788195522E-06,4.5380602679145E-05,0.00121723748384157,-2.47599360272434E-08,0.139829991833224,2.56337352082599,33.0015886401313,0.00294256937372975,0.02331721649379,0.567316506407174,9.07655992897705,7.88393049675906E-07,6.03671054138632,69.8266044257345,386.823129467816,0.349696859323612,6.19597275872132,72.8756528158692,427.68194420701,-0.249642819952747,-0.0233182134152776,-0.567357201252442,-9.07762118537872,0.323733394797128,
18,0.17,1.62387077397391E-06,6.59654337205377E-05,0.00172709032726594,-3.95791211250516E-08,0.167352190604358,2.94964512788777,36.7013934639601,0.0031086203977524,0.0295235106043535,0.676555683042522,10.2873928713494,1.0450965907482E-06,6.75368316157357,73.6146081277049,381.674984758163,0.370242595112753,6.9457837772264,77.1440002318673,427.253711806149,-0.250731139273498,-0.029524995588872,-0.676613512682557,-10.2888551438798,0.345624389027024,
19,0.18,2.41935015474844E-06,9.47824551413195E-05,0.00242803108759497,-6.19293981264541E-08,0.198934890193569,3.37613802149282,40.6181479386138,0.00327072087717797,0.036887978269231,0.799186223786643,11.5830985430674,1.37142138705378E-06,7.50823962345657,77.3458034557534,376.171505200106,0.390482013432591,7.73823417288377,81.406788691615,426.743017100312,-0.249144889515101,-0.0368901514557577,-0.799267227119549,-11.5850880048289,0.368229995740372,
20,0.19,3.55616398150421E-06,0.000134834011179389,0.00338687891884099,-9.5026818308941E-08,0.234990724180666,3.84496080128648,44.74808776432,0.00342816103842524,0.0455489765701679,0.936114870486991,12.9673742161261,1.7838346733452E-06,8.29979401909648,81.016573635577,370.308205117324,0.41034716291941,8.57326357788832,85.6630403134686,426.139783553453,-0.2446827675628,-0.0455521071298095,-0.936226890239861,-12.9700509751276,0.391679742071341,
21,0.2,5.16578869864965E-06,0.000190152543129562,0.0046927274595606,-1.43223886822214E-07,0.275953156671,4.35817107106921,49.086581016306,0.00358016319528387,0.0556541594540133,1.08829631387155,14.4446244194699,2.30254759841E-06,9.12772410407447,84.6232664389914,364.081191479956,0.429763587793159,9.45080130626626,89.9116675753958,425.433339472506,-0.237138902737641,-0.0556586058924965,-1.08844946799964,-14.4481907917081,0.416117404100889,
22,0.21,7.42651414197264E-06,0.000266134929897429,0.00646387393400844,-2.12334779882055E-07,0.322275923504781,4.91776549279644,53.6280426515319,0.00372588293621914,0.0673609987112781,1.25674170111699,16.0200542175974,2.95241432628612E-06,9.99137098068106,88.162201900537,357.487283373364,0.44865056914551,10.370765228363,94.1514674140568,424.612420548027,-0.226303714946056,-0.0673672344359778,-1.25694896884521,-16.0247649949797,0.441701554522566,
23,0.22,1.05791592579029E-05,0.000369976489650414,0.00885665529885417,-3.1003377741153E-07,0.374432369937267,5.52566902452819,58.3658512537175,0.00386441159547124,0.080837395306006,1.4425282232728,17.6997719738315,3.76405408972193E-06,10.8900388642069,91.6296812257109,350.524131591867,0.466921481396848,11.3330605866476,98.3811153894919,423.665174897638,-0.211964983847835,-0.080846040737885,-1.44280617369712,-17.7059471854053,0.468606035735884,
24,0.23,1.49477304796868E-05,0.000511230639683895,0.0120766311427933,-4.46339462323131E-07,0.432914676825026,6.18372338288563,63.2922692158116,0.00399478020713377,0.0962623924123877,1.64680989723237,19.4909028685331,4.77524923973267E-06,11.8229949441798,95.0219968757288,343.190337281868,0.484484272224978,12.3375787536582,102.599159950574,422.57917126368,-0.19390914163283,-0.0962742552357492,-1.64717959534478,-19.4989436566338,0.497020336918191,
